"population","numATMs","ATMwithdr","withdrvalue","unemprate","numbranches"
6437,0,"missing","missing",0.012614,0.75
2442,0,"missing","missing",0.012614,0.5
9582,0,"missing","missing",0.0195111,1.125
4564,0,"missing","missing",0.0195111,0.75
17296,3,"1.209256172","96.70191193",0.0258094,1.75
2884,0,"missing","missing",0.0226602,0.125
2835,0,"missing","missing",0.0258094,0.125
31494,4,".8650830388","94.54476929",0.0239411,3.666667
5352,1,".7167673111","93.78115082",0.0174535,1
6865,0,"missing","missing",0.0154406,1
12184,1,".9336001873","103.3107681",0.0156621,1.125
7255,0,"missing","missing",0.0110269,1
3101,1,"1.645834327","106.7398682",0.0147958,0.875
1024,0,"missing","missing",0.0147958,0.125
8736,1,"1.088250041","105.7246857",0.0161993,1.375
1141,0,"missing","missing",0.0161993,0.125
9235,2,"1.244367838","99.93577576",0.0227986,1.25
3067,0,"missing","missing",0.0227986,0.25
7795,0,"missing","missing",0.0257858,1.125
3694,0,"missing","missing",0.0238878,0.625
2083,0,"missing","missing",0.0238878,0.25
4618,0,"missing","missing",0.0154971,0.75
1125,0,"missing","missing",0.0154971,0.125
2752,0,"missing","missing",0.0131597,0.5
1699,0,"missing","missing",0.0131597,0.125
1229,0,"missing","missing",0.0131597,0.125
1767,0,"missing","missing",0.0131597,0.375
5825,1,".9663720131","101.0394592",0.0307202,0.75
11748,0,"missing","missing",0.0307202,0.75
3662,0,"missing","missing",0.0307202,0.5
19172,2,".6763935089","98.61327362",0.0298352,1.375
29270,3,".7088660002","95.60131836",0.0423642,2.125
11590,1,".7526355386","103.2198486",0.0235548,1.375
8289,0,"missing","missing",0.0250935,0.875
30182,2,".5890818834","100.3130569",0.040057,2.625
13541,1,".6836104989","104.0513687",0.0264382,1.25
10938,1,".625190556","101.394455",0.0209362,1
7459,1,".8743042946","100.0413742",0.037887,0.875
15701,0,"missing","missing",0.037887,1
10198,1,".6116783023","95.7178421",0.037887,0.75
17251,2,".7009550929","93.43096924",0.0289259,1.125
62860,6,".7416071296","92.73267365",0.0491887,3.75
19411,1,".4244685471","103.3250122",0.023628,1.875
4332,1,".918261528","99.35916138",0.023628,0.625
32467,2,".4638868272","98.32380676",0.0510348,2.125
3097,0,"missing","missing",0.0510348,0.125
11843,0,"missing","missing",0.0278646,1.375
18364,1,".351941824","103.706131",0.0349053,1.625
9199,1,".7877993584","98.2329483",0.0232634,0.875
4827,1,"1.057330132","93.57084656",0.0273973,0.625
2400,0,"missing","missing",0.0273973,0.125
12565,1,".256853193","100.4500504",0.0199761,1.375
23123,3,".6740647554","96.42909241",0.0281105,2.375
6764,0,"missing","missing",0.0272028,0.625
29595,2,".5303196907","98.76052856",0.030985,2.25
3284,0,"missing","missing",0.0278983,0.625
1336,0,"missing","missing",0.0278983,0.125
1038,0,"missing","missing",0.0278983,0.125
1874,0,"missing","missing",0.0278983,0.125
8885,0,"missing","missing",0.0223694,1
28182,3,".7480691075","101.4842834",0.0260252,3
15687,1,".3891415894","108.2480698",0.0179129,2.375
1796,0,"missing","missing",0.0228796,0.5
32576,3,".7892457247","101.6236115",0.0265117,2.75
2327,0,"missing","missing",0.0265117,0.125
2175,0,"missing","missing",0.0265117,0.125
5664,0,"missing","missing",0.025702,0.75
10045,1,".7397146225","107.1971817",0.0222001,1.75
6510,0,"missing","missing",0.0213518,0.75
6602,0,"missing","missing",0.0284762,0.75
5649,0,"missing","missing",0.026178,0.875
1991,0,"missing","missing",0.026178,0.25
12746,1,".499214381","101.48452",0.0192217,1.125
15480,1,".385725677","96.20638275",0.0212532,1.875
30711,2,".4776484072","97.99718475",0.0241933,2
13576,0,"missing","missing",0.0182675,1.375
5890,1,"1.077471614","100.8239059",0.0221708,0.75
5341,0,"missing","missing",0.0221708,0.75
9392,0,"missing","missing",0.0316227,1
11925,0,"missing","missing",0.0192034,1.75
14045,2,".7089556456","98.78753662",0.0232111,2
9896,2,"1.379511833","94.59588623",0.0293714,0.75
3961,0,"missing","missing",0.0293714,0.125
16009,2,".9199472666","101.7145462",0.0312949,1.5
15337,2,".6595638394","101.940979",0.0202778,1.5
10131,2,"1.320348263","84.2023468",0.0894774,0.75
4849,0,"missing","missing",0.0379315,0.25
4047,0,"missing","missing",0.0192328,0.125
2452,0,"missing","missing",0.0192328,0.25
13148,2,"1.059237242","88.81123352",0.0435047,1.125
8957,0,"missing","missing",0.0357315,0.625
3497,0,"missing","missing",0.0357315,0.125
1655,0,"missing","missing",0.0362413,0.125
3336,0,"missing","missing",0.0610583,0.5
3164,1,"1.407476783","87.53264618",0.056556,0.25
2692,0,"missing","missing",0.0338039,0.375
1987,0,"missing","missing",0.0360909,0.125
2300,0,"missing","missing",0.0513043,0.125
1657,0,"missing","missing",0.0323077,0.125
2619,0,"missing","missing",0.0404735,0.125
4405,0,"missing","missing",0.0412333,0.25
717,0,"missing","missing",0.0412333,0.125
13309,1,".6798620224","95.23193359",0.0429784,0.875
2848,0,"missing","missing",0.0379213,0.125
13348,2,"1.191436648","93.29522705",0.0408301,0.875
7262,0,"missing","missing",0.0425199,0.5
2994,0,"missing","missing",0.0323981,0.375
4090,0,"missing","missing",0.0375693,0.5
3371,0,"missing","missing",0.042124,0.5
2600,0,"missing","missing",0.0303846,0.125
27141,2,".5057553053","93.23550415",0.0669525,1.5
10981,1,".9417080283","99.77648926",0.0564349,0.125
20750,1,".3183050752","87.99604034",0.0685551,0.875
6601,1,".746645093","86.97562408",0.04772,0.625
5580,1,"1.050648808","91.9758606",0.0690019,0.5
19032,4,"1.538010001","86.46045685",0.0738756,1.375
12152,1,".8392959833","90.95507813",0.0450955,0.5
5674,0,"missing","missing",0.0468805,0.5
2969,0,"missing","missing",0.0263768,0.375
13534,2,".8792943358","94.29967499",0.0543846,0.75
5379,0,"missing","missing",0.0247258,0.625
4127,0,"missing","missing",0.0385268,0.375
4975,0,"missing","missing",0.0590955,0.375
3552,0,"missing","missing",0.036036,0.125
2468,0,"missing","missing",0.036872,0.625
10855,3,"2.093500853","87.63505554",0.0594549,1.041667
3519,0,"missing","missing",0.0328714,0.125
2151,0,"missing","missing",0.0328714,0.375
10535,1,".8572951555","96.09169769",0.0465729,0.75
7349,1,".9305121303","86.40950775",0.041386,0.875
5405,1,".9751195312","91.07466888",0.041386,0.625
4226,1,"1.487915754","90.96019745",0.041844,0.5
2373,0,"missing","missing",0.0570871,0.125
3642,0,"missing","missing",0.0570871,0.125
3682,0,"missing","missing",0.0570871,0.375
8182,0,"missing","missing",0.0474212,0.75
14454,2,".9871847034","94.88301086",0.0216524,1.5
2251,1,"2.074669838","106.5776138",0.0224486,0.25
6470,0,"missing","missing",0.0151688,0.625
3155,0,"missing","missing",0.0151688,0.25
5536,0,"missing","missing",0.0108382,0.875
3888,1,".8279374242","98.09899902",0.0079022,1
1336,0,"missing","missing",0.0079022,0.25
3652,0,"missing","missing",0.0104895,0.5
4999,2,"1.674892902","99.56135559",0.0097608,1.125
818,0,"missing","missing",0.0084671,0.125
1513,0,"missing","missing",0.0089474,0.25
2287,0,"missing","missing",0.0089474,0.125
3400,0,"missing","missing",0.0516833,0.75
1195,0,"missing","missing",0.0516833,0.25
7617,0,"missing","missing",0.0320336,0.5
4957,0,"missing","missing",0.0305709,0.25
2940,0,"missing","missing",0.0305709,0.25
8633,1,".605678618","84.15175629",0.0575686,0.875
7615,1,".6428426504","89.83500671",0.0499015,0.625
3861,0,"missing","missing",0.030044,0.75
10362,2,"1.454290032","85.97102356",0.0603165,0.75
11223,1,".610057354","84.60206604",0.0412546,0.75
10184,2,"1.276627421","90.29321289",0.0599961,0.90625
6498,0,"missing","missing",0.0267775,0.875
11265,2,"1.225929856","91.29268646",0.0366622,1
6509,1,".9967857003","89.08009338",0.0354893,0.625
1958,0,"missing","missing",0.0312761,0.5
3348,0,"missing","missing",0.026583,0.25
21722,0,"missing","missing",0.0514748,1
14572,3,"1.452475905","89.38771057",0.0400445,1.125
2068,0,"missing","missing",0.0400445,0.125
27051,4,".9137582779","94.32617188",0.0704225,1.5
8817,1,".8521978259","96.99279785",0.065782,0.75
4350,0,"missing","missing",0.0294933,0.25
3584,0,"missing","missing",0.0294933,0.125
28259,3,".7085521817","91.05118561",0.0514748,1.5
3900,1,"1.588768721","97.66484833",0.0514748,0.25
7355,1,".5680564642","89.16956329",0.0439157,0.625
7122,1,".7259826064","90.55017853",0.0391744,0.375
10909,1,".7109425068","99.38261414",0.038317,0.875
17548,2,".6582010984","100.0934677",0.0602348,1.125
23648,2,".6284196377","91.60645294",0.0613583,1.625
13668,1,".7047149539","96.94525909",0.0339479,1
3614,0,"missing","missing",0.0304376,0.375
5845,0,"missing","missing",0.0407186,0.375
2101,0,"missing","missing",0.0420413,0.125
3281,1,".9150245786","88.09741974",0.0429461,0.5
4217,0,"missing","missing",0.0476642,0.125
6411,0,"missing","missing",0.0335361,0.375
10800,2,"1.640860558","91.3731842",0.0660185,1
8001,0,"missing","missing",0.0364954,0.5
6765,0,"missing","missing",0.0444937,0.25
2427,0,"missing","missing",0.0882883,0.375
1000,0,"missing","missing",0.0882883,0.125
2865,0,"missing","missing",0.0425829,0.125
3140,0,"missing","missing",0.0369427,0.625
2490,0,"missing","missing",0.0507901,0.125
6358,2,"1.858599305","100.0333786",0.0532923,0.75
4337,1,".8537486196","96.74571228",0.0382753,0.625
11862,2,"1.212739825","96.24209595",0.0488113,1.125
14562,2,".9987618327","90.88329315",0.0466282,1
8034,1,"1.161541462","97.86884308",0.0521533,0.75
7063,2,"1.322407365","94.36558533",0.0490233,0.75
4382,0,"missing","missing",0.057508,0.25
9555,1,".7139356732","91.04434967",0.0492481,0.875
7533,1,".7594385147","94.73407745",0.0454141,0.75
9334,1,".2465912998","88.80020905",0.0454141,0.125
13282,2,"1.026575208","91.73062134",0.0661045,1.125
5642,0,"missing","missing",0.0716058,0.75
2870,0,"missing","missing",0.0414634,0.125
13320,1,".7782217264","102.0880814",0.0321321,1.125
8399,1,".9055318832","94.24408722",0.0733003,0.625
11519,2,".8072286248","96.52580261",0.0692768,0.625
3203,0,"missing","missing",0.0701719,0.125
6708,1,".9933222532","93.9048233",0.0701719,0.625
6250,0,"missing","missing",0.0377964,0.5
13000,2,".9577516317","96.08572388",0.0664514,0.875
6862,0,"missing","missing",0.0664514,0.5
12715,1,".6079947352","95.81151581",0.0456818,0.625
3287,0,"missing","missing",0.0456818,0.375
12041,1,".2756493688","94.52632141",0.0356283,0.75
3137,0,"missing","missing",0.0573892,0.5
5090,1,"1.674439907","98.2843399",0.0508008,0.875
4488,0,"missing","missing",0.0579323,0.75
5124,1,"1.162052035","92.24388123",0.058122,0.75
6183,1,"1.522758961","90.18143463",0.0443471,0.875
4254,0,"missing","missing",0.0443471,0.25
2123,0,"missing","missing",0.0443471,0.375
4322,0,"missing","missing",0.0458211,0.375
759,0,"missing","missing",0.0458211,0.125
9610,1,".8964238167","101.6650238",0.0699272,1.1875
4062,0,"missing","missing",0.0512063,0.375
2069,0,"missing","missing",0.0665236,0.375
13644,1,"1.00361681","98.96154022",0.0404573,1.041667
1439,0,"missing","missing",0.0347464,0.25
3560,0,"missing","missing",0.0246154,0.25
1807,1,"2.062936306","96.94845581",0.0311396,0.75
1696,0,"missing","missing",0.0293488,0.375
1548,0,"missing","missing",0.0334842,0.25
5384,1,"1.473031163","95.84368896",0.0446205,0.75
22767,5,"1.450160861","100.11306",0.029153,1
4167,0,"missing","missing",0.012239,0.125
3454,0,"missing","missing",0.0229435,0.625
2372,0,"missing","missing",0.0229435,0.125
3428,0,"missing","missing",0.0210035,0.375
3298,0,"missing","missing",0.0222802,0.75
3202,0,"missing","missing",0.0249844,0.375
3964,0,"missing","missing",0.0310293,0.125
7175,2,"1.779466152","95.03134155",0.0373644,0.875
5642,1,".86173141","105.2473068",0.0198063,0.375
7151,2,"1.569693089","102.9070663",0.0317536,0.75
4014,0,"missing","missing",0.0317536,0.5
9315,2,"1.066265464","93.27333069",0.0304885,0.875
3801,0,"missing","missing",0.0296053,0.375
3884,1,"1.571695209","102.4687729",0.038294,0.625
3025,1,"1.775403023","95.05799103",0.0450119,0.625
6264,1,".9132902622","91.3938446",0.0376756,1
3166,0,"missing","missing",0.0339188,0.625
5672,1,"1.22033298","90.56572723",0.034732,0.625
8065,2,"1.046435833","92.64220428",0.0365778,0.875
4338,0,"missing","missing",0.0348087,0.5
16563,2,".7542394996","94.16767883",0.0439534,1
1704,0,"missing","missing",0.0397767,0.625
2282,0,"missing","missing",0.0468887,0.25
5444,1,"1.683511257","98.68174744",0.0493057,0.75
4494,0,"missing","missing",0.0493057,0.125
2062,0,"missing","missing",0.0408418,0.25
2934,0,"missing","missing",0.0374915,0.25
1143,0,"missing","missing",0.0334408,0.25
2287,1,"3.03749299","95.28032684",0.0448702,0.875
4982,1,"1.278869152","94.37862396",0.0479727,0.625
2806,0,"missing","missing",0.0345688,0.125
8893,1,".6376715899","91.03958893",0.0748557,0.625
7576,2,"1.29340446","100.7301941",0.0748557,0.75
5923,0,"missing","missing",0.0748557,0.5
6662,0,"missing","missing",0.0748557,0.5
4200,0,"missing","missing",0.0748557,0.25
5283,0,"missing","missing",0.0390479,0.375
2195,0,"missing","missing",0.0390479,0.5
9309,1,".5849875808","95.21927643",0.0286819,0.5
14883,3,"1.306135654","93.60323334",0.0438561,0.875
3881,0,"missing","missing",0.0438561,0.25
7972,0,"missing","missing",0.0479177,0.625
20705,2,".7008264661","91.61351013",0.0772277,1.5
19338,2,".7671863437","86.8683548",0.0463854,0.8125
7540,0,"missing","missing",0.059947,0.375
16410,1,".2110013515","91.3610611",0.0717086,0.875
13971,1,".6816714406","94.93348694",0.0705748,0.625
4088,0,"missing","missing",0.0531985,0.625
8306,0,"missing","missing",0.0580297,0.125
8612,1,".8782936335","90.87445068",0.0500155,0.5
5119,0,"missing","missing",0.0789612,0.125
3976,0,"missing","missing",0.0789612,0.5
2303,0,"missing","missing",0.0789612,0.125
6022,1,"1.174333811","91.29078674",0.0622671,0.625
3885,0,"missing","missing",0.0622671,0.375
4763,0,"missing","missing",0.0622671,0.375
3045,0,"missing","missing",0.0622671,0.125
6761,0,"missing","missing",0.0792782,0.125
16837,2,".8420166373","96.1883316",0.0808339,1.375
5833,2,"1.459722281","95.8325119",0.0704098,0.75
5055,0,"missing","missing",0.051632,0.25
4137,0,"missing","missing",0.0577149,0.75
4752,0,"missing","missing",0.0577149,0.25
3379,0,"missing","missing",0.0577149,0.5
1658,0,"missing","missing",0.0577149,0.125
10761,0,"missing","missing",0.0577149,0.5
8261,1,"1.210383654","100.3331985",0.0712723,0.875
2668,0,"missing","missing",0.0712723,0.125
1753,0,"missing","missing",0.0476569,0.25
2466,0,"missing","missing",0.0476569,0.375
4611,0,"missing","missing",0.0411859,0.5
5534,1,".6962084174","95.37226868",0.0572993,0.5
7081,1,".8562020659","92.14253235",0.0560277,1
9597,1,".335419476","92.48649597",0.0457435,0.625
2892,1,"2.226155519","100.722168",0.0423291,0.5
774,0,"missing","missing",0.0423291,0.125
3204,0,"missing","missing",0.028402,0.125
5413,0,"missing","missing",0.0358396,1.125
7672,2,"1.168520451","91.56642151",0.0438972,0.875
1115,0,"missing","missing",0.0438972,0.125
4419,0,"missing","missing",0.0438972,0.875
4335,0,"missing","missing",0.0438972,0.5
12195,2,"1.710284472","96.83535004",0.0448922,1.15
3745,0,"missing","missing",0.0448922,0.125
7581,0,"missing","missing",0.0300752,0.75
10982,2,"1.306880474","98.80274963",0.040703,0.875
7881,2,"1.472971678","98.07759857",0.0502017,0.875
3522,0,"missing","missing",0.0502017,0.375
3089,0,"missing","missing",0.0502017,0.125
3801,0,"missing","missing",0.0310445,0.75
3217,0,"missing","missing",0.0335716,0.625
5600,0,"missing","missing",0.0371429,0.875
7593,3,"1.669424057","91.24485779",0.0508268,0.875
2588,0,"missing","missing",0.0401252,0.125
5757,1,".6562033296","93.26359558",0.0401252,0.75
2521,0,"missing","missing",0.0401252,0.5
1988,0,"missing","missing",0.0437406,0.5
5436,0,"missing","missing",0.0394343,0.625
2193,0,"missing","missing",0.0572614,0.5
4443,1,"1.724946737","98.28172302",0.0572614,0.75
4331,0,"missing","missing",0.0572614,0.375
2288,0,"missing","missing",0.0572614,0.25
21166,2,".5445098281","103.4272919",0.0160163,2.0625
17483,1,".4483821988","107.6940231",0.0186011,2.25
4505,0,"missing","missing",0.0186011,0.875
20941,4,"1.251651525","105.7045441",0.0245074,2
11080,0,"missing","missing",0.0148014,1.125
9300,1,".5918306708","101.8360214",0.0229757,1.5
9471,3,"2.219798088","103.0928192",0.027588,1.5
1947,0,"missing","missing",0.027588,0.125
2136,0,"missing","missing",0.0287446,0.125
5848,2,"2.196088552","97.41171265",0.0287446,0.625
8813,1,".4920577407","100.6745987",0.0170203,1
11147,1,".4406499863","100.9786377",0.0199157,1
13272,1,".1206427738","97.6962204",0.0218505,1.875
13647,1,".335483849","106.5392227",0.0131897,1.625
15590,0,"missing","missing",0.0236374,1.75
2959,0,"missing","missing",0.0236374,0.5
7282,0,"missing","missing",0.0190062,1
11426,1,".4963078797","103.4518051",0.0144407,1.3125
2642,0,"missing","missing",0.017398,0.25
2843,0,"missing","missing",0.017398,0.125
2292,0,"missing","missing",0.017398,0.125
2414,0,"missing","missing",0.017398,0.5
11385,1,".4578080773","114.0425339",0.0146324,1.75
1610,0,"missing","missing",0.0146324,0.375
5997,2,"1.741032004","110.7810593",0.0205569,1
16782,1,".4934487045","101.2538071",0.0198344,2.041667
12236,1,".4764026701","110.4280243",0.0176528,2.0625
10332,2,"1.69500649","103.1369324",0.0291328,1.5
11766,1,".8072932959","98.84175873",0.0252422,1.291667
3608,0,"missing","missing",0.0160754,0.75
3231,0,"missing","missing",0.0133086,0.875
7686,0,"missing","missing",0.0246584,1.375
9880,3,"1.945586085","91.9427948",0.0445344,1.5
19952,4,"1.200423479","96.09113312",0.0257117,2.25
8147,1,".725746572","104.9367218",0.0211121,1.125
1959,0,"missing","missing",0.0192906,0.625
2862,0,"missing","missing",0.0192906,0.25
19115,2,".5492725372","106.7582855",0.0164792,2.0625
8936,0,"missing","missing",0.0155551,1.125
7931,0,"missing","missing",0.0137435,1.625
14557,1,".556840539","112.9893799",0.0116095,1.875
6593,0,"missing","missing",0.0160777,1
12647,1,".3250842094","106.2973633",0.0128884,1.8125
5012,0,"missing","missing",0.0181564,0.625
11036,1,".4088104963","110.7789764",0.0160384,1
10659,1,".8606224656","113.0030136",0.0157613,1
7367,0,"missing","missing",0.0120809,1
5122,1,".8678088784","114.5751801",0.0192233,0.625
3365,1,"1.315969825","105.8219299",0.0192233,0.375
8312,1,".6079999804","109.7693329",0.0116699,1
18800,2,".7700666785","103.52314",0.0223936,1
9768,0,"missing","missing",0.0103399,1.5625
10965,1,".4068943262","110.6049728",0.0104879,1.8125
7077,1,".5750519633","107.0419769",0.0140485,1
2319,0,"missing","missing",0.0140485,0.25
5491,0,"missing","missing",0.0131124,1
9369,0,"missing","missing",0.0114206,1.6875
10690,1,".3994190097","106.8862381",0.0143124,1.291667
23076,2,".9229896069","102.1011505",0.0235204,1.3
3712,0,"missing","missing",0.0235204,0.5
2590,0,"missing","missing",0.0235204,0.125
1938,0,"missing","missing",0.0235204,0.25
3760,0,"missing","missing",0.0235204,0.75
7602,1,".4355109632","104.2374954",0.0202578,1.4375
17744,1,".3064308763","104.0971603",0.0220356,1.875
1513,0,"missing","missing",0.0192515,0.5
2143,0,"missing","missing",0.0192515,0.25
1422,0,"missing","missing",0.0192515,0.125
1170,0,"missing","missing",0.0192515,0.75
966,0,"missing","missing",0.0320911,0.25
14810,2,".7556730509","94.554039",0.0195302,1.416667
3223,0,"missing","missing",0.0196696,0.875
1913,0,"missing","missing",0.0196696,0.25
11581,0,"missing","missing",0.0154564,2.625
12906,1,".6009353399","106.3694839",0.0458646,1.5
13761,1,".5011779666","98.47068024",0.0458646,1.125
6125,2,"2.281940937","104.1749878",0.0458646,0.875
6836,1,".7197579145","101.0924301",0.0458646,1
17166,2,".7442624569","105.3601608",0.0161948,1.6875
19098,1,".4921216965","111.120163",0.0151848,1.8125
10410,2,"1.411535025","107.797142",0.0158501,1.125
